# runtimes of two algorithms on problems if varying size, and with different number of threads
# size: problem size
# workers: nr of threads in distributed algo
# time: total runtime in seconds
# algo: single or distributed algorithm
size,workers,time,algo
4096,1,3.736606470743815,distributed
4096,2,2.133074198828804,distributed
4096,3,1.6734406895107694,distributed
4096,4,1.515788353814019,distributed
4096,5,1.475265449947781,distributed
16384,1,14.792793687184652,distributed
16384,2,7.894031026628283,distributed
16384,3,5.681170802646213,distributed
16384,4,4.597697088453505,distributed
16384,5,3.9882860660552977,distributed
65536,1,59.12334657775031,distributed
65536,2,30.76248647901747,distributed
65536,3,21.43660822974311,distributed
65536,4,16.510128508673773,distributed
65536,5,13.63774046897888,distributed
262144,1,240.7474482483334,distributed
262144,2,124.44867862065634,distributed
262144,3,85.38409444491069,distributed
262144,4,64.7323694229126,distributed
262144,5,53.54423254860773,distributed
1048576,1,1097.7883522351583,distributed
1048576,2,567.0381718158721,distributed
1048576,3,383.5636172771454,distributed
1048576,4,290.18287703196205,distributed
1048576,5,242.4944975905948,distributed
4194304,1,4845.007061391407,distributed
4194304,2,2501.408669482337,distributed
4194304,3,1673.959357351727,distributed
4194304,4,1269.887091917462,distributed
4194304,5,1072.3781368520524,distributed
4096,1,3.6226933683667855,single
16384,1,26.792361004011973,single
65536,1,127.812326499394,single
262144,1,281.99478266920363,single
